url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/3GNAXSEVXKL249029/2019-chevrolet-equinox/?position=29&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2019ChevroletEquinox LS with 1LS AWD,"120,645miles","$11,495",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/W1N9M0KB8PN036714/2023-mercedes-benz-eqb/?position=30&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2023Mercedes-BenzEQB 300 4MATIC,"8,329miles","$27,913",BidCars Boston EV EV
https://www.truecar.com/used-cars-for-sale/listing/WA1LFAFP6FA081136/2015-audi-q5/?position=31&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2015AudiQ5 Premium Plus 2.0T quattro,"100,435miles","$10,645",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/KM8K33AG0MU120808/2021-hyundai-kona-electric/?position=32&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D1&sourceType=marketplace,Used2021HyundaiKona Electric Limited,"13,934miles","$16,300",Nucar Hyundai Norwood EV EV
https://www.truecar.com/used-cars-for-sale/listing/1FTBR1Y86PKA51502/2023-ford-transit-cargo-van/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace&sponsored=true,"Used2023FordTransit Cargo Van T-250 130"" Low Rf 9070 GVWR RWD","21,141miles","$35,990",Stoneham Ford
https://www.truecar.com/used-cars-for-sale/listing/2HKRW2H53KH608702/2019-honda-cr-v/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace&sponsored=true&zipcode=02062,Used2019HondaCR-V EX AWD,"64,937miles","$22,998",CarMax Norwood
https://www.truecar.com/used-cars-for-sale/listing/1FTBR1Y83PKA17906/2023-ford-transit-cargo-van/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace&sponsored=true,"Used2023FordTransit Cargo Van T-250 130"" Low Rf 9070 GVWR RWD","27,315miles","$35,990",Stoneham Ford
https://www.truecar.com/used-cars-for-sale/listing/5UXTR9C55KLD96427/2019-bmw-x3/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace,Used2019BMWX3 xDrive30i AWD,"94,600miles","$17,695",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/2LMDJ8JK7DBL29134/2013-lincoln-mkx/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace,Used2013LincolnMKX AWD,"124,442miles","$7,999",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/1FADP3F21GL265497/2016-ford-focus/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace,Used2016FordFocus SE Sedan,"61,970miles","$8,995",John's Auto Sales Somerville
https://www.truecar.com/used-cars-for-sale/listing/WBA6B4C52DD098401/2013-bmw-6-series/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace,Used2013BMW650i xDrive Gran Coupe,"115,625miles","$14,795",Prestige Motors of Malden
https://www.truecar.com/used-cars-for-sale/listing/JHMZC5F14JC010170/2018-honda-clarity/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-boston-ma%2F%3Fpage%3D2&sourceType=marketplace,Used2018HondaClarity Plug-In Hybrid,"132,250miles","$12,995",Prestige Motors of Malden PHEV PHEV
