url,title,mileage_listed,list_price_displayed,dealer_info
https://www.truecar.com/used-cars-for-sale/listing/WDDHF8JB2GB169019/2016-mercedes-benz-e-class/?position=32&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D1&sourceType=marketplace,Used 2016 Mercedes-Benz E 350 4MATIC Luxury Sedan,"97,118 miles","$12,895",Jidd Motors Mitsubishi
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1BG5ER111560/2014-chrysler-town-country/?position=0&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace&sponsored=true,Used 2014 Chrysler Town & Country Touring,"102,132 miles","$7,999",Rosen Hyundai of Algonquin
https://www.truecar.com/used-cars-for-sale/listing/WAUD2AFD3EN010928/2014-audi-s8/?position=1&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace&sponsored=true,Used 2014 Audi S8 Sedan,"98,896 miles","$23,999",Specialty Motors
https://www.truecar.com/used-cars-for-sale/listing/1FMCU9GX5EUA52888/2014-ford-escape/?position=2&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace&sponsored=true,Used 2014 Ford Escape SE 4WD,"82,060 miles","$9,500",McGrath Kia of St. Charles
https://www.truecar.com/used-cars-for-sale/listing/ZFBCFACH0FZ034644/2015-fiat-500l/?position=3&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2015 FIAT 500L Lounge,"102,078 miles","$6,990",City Volkswagen of Chicago
https://www.truecar.com/used-cars-for-sale/listing/SALAG2V61FA746025/2015-land-rover-lr4/?position=4&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2015 Land Rover LR4 HSE,"114,647 miles","$8,997",Honda City Chicago
https://www.truecar.com/used-cars-for-sale/listing/WD3PE7CD2JP639149/2018-mercedes-benz-sprinter-cargo-van/?position=5&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2018 Mercedes-Benz Sprinter Cargo Van 2500 Standard Roof SWB RWD,"156,828 miles","$16,990",Auto Deals (IL)
https://www.truecar.com/used-cars-for-sale/listing/2C4RC1L70PR618173/2023-chrysler-pacifica/?position=6&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2023 Chrysler Pacifica Hybrid Touring L FWD,"36,760 miles","$25,972",Old Orchard Nissan PHEV PHEV
https://www.truecar.com/used-cars-for-sale/listing/2GNFLFEK1H6252168/2017-chevrolet-equinox/?position=7&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2017 Chevrolet Equinox LT with 1LT AWD,"129,197 miles","$7,933",Gerald Honda of Countryside
https://www.truecar.com/used-cars-for-sale/listing/1C4RJFCG8JC356132/2018-jeep-grand-cherokee/?position=8&returnTo=%2Fused-cars-for-sale%2Flistings%2Flocation-chicago-il%2F%3Fpage%3D2&sourceType=marketplace,Used 2018 Jeep Grand Cherokee High Altitude 4WD,"86,782 miles","$20,900",Audi of Orland Park
