sales_price,price_tier,year,vehicle_age,make,model,trim,odometer_miles,fuel_type,exterior,interior,dealer_state,dealer_distance_miles,source_metro,feature_count,standard_feature_count
23998.0,near_market,2017,9,Jeep,Wrangler,Unlimited 75th Anniversary,62811,Gas,Black,Black,WA,2477.0,seattle_wa,0,0
19777.0,below_market,2017,9,Jeep,Wrangler,Unlimited Sahara,103947,Gas,Black Clearcoat,Black,IL,866.0,chicago_il,0,0
26991.0,near_market,2018,8,Jeep,Wrangler,Unlimited Altitude (JK),49986,Gas,Billet Silver Metallic Clearcoat,Black,WA,2471.0,seattle_wa,0,0
18998.0,near_market,2013,13,Jeep,Wrangler,Unlimited Sahara,128010,Gas,Commando Green,Black Interior,CA,0.0,san-francisco_ca,0,0
9000.0,below_market,2013,13,Jeep,Wrangler,Unlimited Sahara,180428,Gas,Deep Cherry Red Crystal Pearlcoat,Black Interior,MI,598.0,detroit_mi,0,0
18248.0,near_market,2016,10,Jeep,Wrangler,Unlimited Sahara,104880,Gas,Billet Silver,Black,MI,625.0,detroit_mi,0,0
21495.0,below_market,2016,10,Jeep,Wrangler,Unlimited Rubicon Hard Rock,77197,Gas,Black Clearcoat,Black,MA,22.0,boston_ma,0,0
18675.0,below_market,2013,13,Jeep,Wrangler,Unlimited Rubicon 10th Anniversary,93467,Gas,Black,Black Interior,TX,1689.0,austin_tx,0,0
13000.0,below_market,2014,12,Jeep,Wrangler,Unlimited Rubicon,139958,Gas,Billet Metallic Clearcoat,Black,MI,598.0,detroit_mi,0,0
22891.0,below_market,2017,9,Jeep,Wrangler,Unlimited Rubicon,61026,Gas,Black Clearcoat,Black,WA,2482.0,seattle_wa,0,0
10999.0,below_market,2012,14,Jeep,Wrangler,Sport 4WD,139797,Gas,Bright Silver Metallic,Black Interior,TX,1688.0,austin_tx,0,0
19995.0,below_market,2020,6,Jeep,Wrangler,Sport S,84968,Gas,Granite Crystal Metallic Clearcoat,Black,IL,867.0,chicago_il,0,0
25995.0,near_market,2021,5,Jeep,Wrangler,Sport S,28956,Gas,Sarge Green Clearcoat,Black,MI,620.0,detroit_mi,0,0
27996.0,below_market,2021,5,Jeep,Wrangler,Willys Sport,8747,Gas,Bright White Clearcoat,Black,MA,6.0,boston_ma,0,0
19600.0,below_market,2020,6,Jeep,Wrangler,Sport S,93716,Gas,Billet Silver Metallic Clearcoat,Black,GA,920.0,atlanta_ga,0,0
12891.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sport S (JK),147480,Gas,Granite Crystal Metallic Clearcoat,Black,IL,899.0,chicago_il,0,0
20998.0,below_market,2018,8,Jeep,Wrangler,Unlimited Sport S (JK),78857,Gas,Bright White Clearcoat,Black,CA,0.0,san-francisco_ca,0,0
13998.0,below_market,2012,14,Jeep,Wrangler,Unlimited Sahara 4WD,122404,Gas,Black Forest Green Pearl,Black Interior,WA,2477.0,seattle_wa,0,0
14695.0,below_market,2014,12,Jeep,Wrangler,Unlimited Sahara,124515,Gas,Granite Crystal Metallic Clearcoat,Dark Saddle/Black,TX,1685.0,austin_tx,0,0
15999.0,below_market,2016,10,Jeep,Wrangler,Unlimited Backcountry,107317,Gas,Black Clearcoat,Black,GA,905.0,atlanta_ga,0,0
23993.0,near_market,2017,9,Jeep,Wrangler,Unlimited Smoky Mountain,72616,Gas,Bright White Clearcoat,Black,TX,1699.0,austin_tx,0,0
20994.0,near_market,2015,11,Jeep,Wrangler,Unlimited Rubicon Hard Rock,83916,Gas,Black Clearcoat,Black,MI,630.0,detroit_mi,0,0
23232.0,below_market,2021,5,Jeep,Wrangler,Sport S,51929,Gas,Black Clearcoat,Black,TX,1716.0,austin_tx,0,0
27998.0,near_market,2019,7,Jeep,Wrangler,Unlimited Sport S,34589,Gas,Billet Silver Metallic Clearcoat,Black,GA,0.0,atlanta_ga,0,0
